idx,error
399, 0.122853
400, 0.082438
401, 0.078391
402, 0.123271
403, 0.094179
404, 0.092758
405, 0.126227
406, 0.078787
407, 0.076413
408, 0.122062
409, 0.079609
410, 0.095226
411, 0.123133
412, 0.084326
413, 0.103990
414, 0.121587
415, 0.079061
416, 0.081439
417, 0.122596
418, 0.075056
419, 0.104348
420, 0.124589
421, 0.077236
422, 0.107931
423, 0.121828
424, 0.078653
425, 0.095631
426, 0.123270
427, 0.080632
428, 0.101991
429, 0.123265
430, 0.087449
431, 0.120827
432, 0.121724
433, 0.100488
434, 0.126937
435, 0.123787
436, 0.082089
437, 0.093801
438, 0.122677
439, 0.099514
440, 0.101673
441, 0.122748
442, 0.097344
443, 0.110869
444, 0.122638
445, 0.106416
446, 0.145114
447, 0.122367
448, 0.107883
449, 0.132000
450, 0.122309
451, 0.081267
452, 0.108905
453, 0.122064
454, 0.089128
455, 0.116685
456, 0.122084
457, 0.102724
458, 0.122812
459, 0.123066
460, 0.107176
461, 0.129657
462, 0.122289
463, 0.106530
464, 0.148537
465, 0.124786
466, 0.090464
467, 0.118781
468, 0.122068
469, 0.108148
470, 0.146948
471, 0.122288
472, 0.110081
473, 0.141166
474, 0.121946
475, 0.087343
476, 0.134346
477, 0.123812
478, 0.107550
479, 0.150108
480, 0.121242
481, 0.106378
482, 0.136601
483, 0.121484
484, 0.108889
485, 0.122792
486, 0.122973
487, 0.107271
488, 0.135234
489, 0.121336
490, 0.100508
491, 0.124700
492, 0.122610
493, 0.103544
494, 0.136812
495, 0.121759
496, 0.106857
497, 0.151251
498, 0.121176
499, 0.101054
500, 0.146690
501, 0.124054
502, 0.089444
503, 0.131149
504, 0.121616
505, 0.091090
506, 0.120326
507, 0.121111
508, 0.099283
509, 0.149991
510, 0.121177
511, 0.102703
512, 0.127704
513, 0.121626
514, 0.112632
515, 0.133957
516, 0.121241
517, 0.108000
518, 0.128945
519, 0.120952
520, 0.094264
521, 0.143139
522, 0.121670
523, 0.098491
524, 0.137143
525, 0.121537
526, 0.094600
527, 0.135388
528, 0.121279
529, 0.092092
530, 0.126954
531, 0.122210
532, 0.105925
533, 0.134524
534, 0.124542
535, 0.096144
536, 0.128702
537, 0.122994
538, 0.099349
539, 0.124167
540, 0.122676
541, 0.095552
542, 0.136067
543, 0.121972
544, 0.106095
545, 0.119489
546, 0.121740
547, 0.090169
548, 0.122220
549, 0.122629
550, 0.095760
551, 0.115534
552, 0.122552
553, 0.091768
554, 0.108598
555, 0.123741
556, 0.092880
557, 0.111459
558, 0.123520
559, 0.098869
560, 0.110251
561, 0.127017
562, 0.093013
563, 0.106579
564, 0.123542
565, 0.096312
566, 0.099545
567, 0.127943
568, 0.092511
569, 0.117131
570, 0.123452
571, 0.086821
572, 0.111330
573, 0.126111
574, 0.095706
575, 0.115067
576, 0.123905
577, 0.092296
578, 0.112508
579, 0.125042
580, 0.089202
581, 0.110873
582, 0.127870
583, 0.092796
584, 0.102117
585, 0.126914
586, 0.084044
587, 0.106238
588, 0.126615
589, 0.087789
590, 0.106004
591, 0.127023
592, 0.086913
593, 0.108342
594, 0.126379
595, 0.082722
596, 0.100163
597, 0.125145
598, 0.091497
599, 0.091923
600, 0.124737
601, 0.085076
602, 0.090807
603, 0.125189
604, 0.088201
605, 0.097722
606, 0.124991
607, 0.089268
608, 0.085356
609, 0.127045
610, 0.089005
611, 0.088975
612, 0.124307
613, 0.088462
614, 0.096030
615, 0.124220
616, 0.091867
617, 0.081095
618, 0.124525
619, 0.091287
620, 0.088033
621, 0.126084
622, 0.088432
623, 0.082313
624, 0.123895
625, 0.085186
626, 0.084142
627, 0.124260
628, 0.084374
629, 0.084031
630, 0.129875
631, 0.082828
632, 0.087141
633, 0.124691
634, 0.085119
635, 0.084249
636, 0.125880
637, 0.081749
638, 0.077876
639, 0.125471
640, 0.083260
641, 0.077289
642, 0.125049
643, 0.085410
644, 0.079041
645, 0.124809
646, 0.081752
647, 0.077743
648, 0.126232
649, 0.083654
650, 0.078970
651, 0.124598
652, 0.083950
653, 0.070378
654, 0.126607
655, 0.081538
656, 0.070756
657, 0.125119
658, 0.082991
659, 0.072373
660, 0.124664
661, 0.081978
662, 0.070634
663, 0.124802
664, 0.080688
665, 0.068827
666, 0.126965
667, 0.080254
668, 0.067510
669, 0.125971
670, 0.075430
671, 0.066815
672, 0.129779
673, 0.079611
674, 0.065840
675, 0.124791
676, 0.077360
677, 0.062507
678, 0.124984
679, 0.078058
680, 0.066810
681, 0.128061
682, 0.078167
683, 0.067576
684, 0.125650
685, 0.074722
686, 0.062390
687, 0.126366
688, 0.077042
689, 0.058886
690, 0.125073
691, 0.075278
692, 0.061050
693, 0.127440
694, 0.072020
695, 0.060569
696, 0.133082
697, 0.070937
698, 0.065414
699, 0.134364
700, 0.069067
701, 0.056167
702, 0.126023
703, 0.069950
704, 0.059521
705, 0.125857
706, 0.067977
707, 0.056756
708, 0.132506
709, 0.066957
710, 0.057489
711, 0.132189
712, 0.068564
713, 0.055596
714, 0.125764
715, 0.068920
716, 0.051265
717, 0.128893
718, 0.066670
719, 0.054998
720, 0.132316
721, 0.063711
722, 0.054076
723, 0.126412
724, 0.065749
725, 0.052455
726, 0.126055
727, 0.064940
728, 0.051811
729, 0.126281
730, 0.063867
731, 0.052214
732, 0.130833
733, 0.063095
734, 0.054705
735, 0.132380
736, 0.061926
737, 0.048229
738, 0.132012
739, 0.060783
740, 0.049354
741, 0.132078
742, 0.062055
743, 0.047122
744, 0.130709
745, 0.060122
746, 0.055607
747, 0.126323
748, 0.060626
749, 0.049999
750, 0.132329
751, 0.060215
752, 0.044455
753, 0.126012
754, 0.059698
755, 0.046401
756, 0.125698
757, 0.060141
758, 0.043535
759, 0.128935
760, 0.060443
761, 0.046551
762, 0.126403
763, 0.061827
764, 0.041997
765, 0.131339
766, 0.059407
767, 0.043612
768, 0.128475
769, 0.059876
770, 0.043062
771, 0.129338
772, 0.058039
773, 0.044960
774, 0.128141
775, 0.057278
776, 0.039785
777, 0.125656
778, 0.057295
779, 0.042276
780, 0.126186
781, 0.056595
782, 0.043015
783, 0.125327
784, 0.056626
785, 0.036826
786, 0.126978
787, 0.056484
788, 0.035719
789, 0.126687
790, 0.058515
791, 0.037533
792, 0.135894
793, 0.055566
794, 0.036628
795, 0.128496
